Hotel,Room Type,Item Code,Check In Date,Check Out Date,Stock,Pax,Nights,Daily Rate,Total Price,,
Artique Resort,1 Bedroom,4SIL_ART_1BS_3N1P,04/04/2018,07/04/2018,2,1,3," $1,000.47 "," $3,001.42 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_4N1P,04/04/2018,08/04/2018,2,1,4, $821.94 ," $3,287.76 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_8N1P,04/04/2018,12/04/2018,2,1,8, $644.63 ," $5,157.00 ", ,
Artique Resort,1 Bedroom,4SIL_ART_1BS_9N1P,04/04/2018,13/04/2018,2,1,9, $584.98 ," $5,264.85 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_12N1P,04/04/2018,16/04/2018,2,1,12, $512.43 ," $6,149.14 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_3N2P,04/04/2018,07/04/2018,2,2,3," $1,187.52 "," $3,562.55 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_4N2P,04/04/2018,08/04/2018,2,2,4, $965.35 ," $3,861.40 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_8N2P,04/04/2018,12/04/2018,2,2,8, $726.54 ," $5,812.31 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_9N2P,04/04/2018,13/04/2018,2,2,9, $658.32 ," $5,924.86 ",,
Artique Resort,1 Bedroom,4SIL_ART_1BS_12N2P,04/04/2018,16/04/2018,2,2,12, $570.65 ," $6,847.79 ",," $12,092.29 "
Artique Resort,1 Bedroom,13SIL_ART_1BS_3N1P,13/04/2018,16/04/2018,2,1,3," $1,000.47 "," $3,001.42 ",,
Artique Resort,1 Bedroom,13SIL_ART_1BS_3N2P,13/04/2018,16/04/2018,2,2,3," $1,187.52 "," $3,562.55 ",,
Artique Resort,1 Bedroom,8SIL_ART_1BS_4N1P,08/04/2018,12/04/2018,2,1,4, $821.94 ," $3,287.76 ",,
Artique Resort,1 Bedroom,8SIL_ART_1BS_4N2P,08/04/2018,12/04/2018,2,2,4, $965.35 ," $3,861.40 ",,
Artique Resort,1 Bedroom,12SIL_ART_1BS_4N1P,12/04/2018,16/04/2018,2,1,4, $821.94 ," $3,287.76 ",,
Artique Resort,1 Bedroom,12SIL_ART_1BS_4N2P,12/04/2018,16/04/2018,2,2,4, $965.35 ," $3,861.40 ",,
Artique Resort,1 Bedroom,8SIL_ART_1BS_8N1P,08/04/2018,16/04/2018,2,1,8, $644.63 ," $5,157.00 ",,
Artique Resort,1 Bedroom,8SIL_ART_1BS_8N2P,08/04/2018,16/04/2018,2,2,8, $726.54 ," $5,812.31 ",,
Artique Resort,1 Bedroom,7SIL_ART_1BS_9N1P,07/04/2018,16/04/2018,2,1,9, $584.98 ," $5,264.85 ",,
Artique Resort,1 Bedroom,7SIL_ART_1BS_9N2P,07/04/2018,16/04/2018,2,2,9, $658.32 ," $5,924.86 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_3N1P,04/04/2018,07/04/2018,2,1,3," $1,076.69 "," $3,230.08 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_4N1P,04/04/2018,08/04/2018,2,1,4, $885.80 ," $3,543.20 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_8N1P,04/04/2018,12/04/2018,2,1,8, $697.31 ," $5,578.48 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_9N1P,04/04/2018,13/04/2018,2,1,9, $632.88 ," $5,695.90 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_12N1P,04/04/2018,16/04/2018,2,1,12, $554.90 ," $6,658.74 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_3N2P,04/04/2018,07/04/2018,2,2,3," $1,267.07 "," $3,801.20 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_4N2P,04/04/2018,08/04/2018,2,2,4," $1,032.00 "," $4,128.00 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_8N2P,04/04/2018,12/04/2018,2,2,8, $781.53 ," $6,252.20 ",,
Artique Resort,1 Bedroom Ocean View,4SIL_ART_1BO_9N2P,04/04/2018,13/04/2018,2,2,9, $708.31 ," $6,374.75 ",,
